Apps_for_Android games:3081.1493 play:2158.3694 graphics:1505.5109 kindle:1470.8209 addictive:1311.9056 challenging:1038.1285 coins:1002.6648 addicting:990.8441 fire:956.1470 levels:825.3813 playing:692.9340 ads:642.3970 puzzles:596.7717 apps:548.7811 free:500.9885 bingo:409.2358 mahjong:322.0089 download:303.8649 faotd:288.8577 facebook:282.5171 downloaded:262.7702 hints:242.6103 solitaire:211.6430 android:211.5811 puzzle:198.8558 gameplay:198.5123 freezes:189.6774 unlock:185.7521 played:180.3965 deleted:179.2244 bought:174.4587 flappy:173.3058 upgrades:168.9986 awesome:155.2101 tablet:155.1382 price:149.5959 calculator:148.9576 developer:148.3775 quality:144.1940 permissions:137.3709 author:135.3421 earn:134.7527 bored:131.2319 uninstall:127.2911 sudoku:126.9997 fit:126.1040 years:124.3578 reading:121.6512 made:120.9146 characters:118.0979 gameloft:115.5343 series:115.0572 written:114.8406 addicted:109.6504 crashes:107.3094 brain:106.9291 multiplayer:102.5146 challenge:102.1897 sims:100.4487 uninstalling:100.3219 tetris:99.2436 back:99.1249 glitches:99.0255 end:95.2482 waster:94.2253 crashing:93.6880 downloading:93.5424 size:93.3437 put:91.5407 logos:88.2657 minecraft:88.2657 freecell:86.6496 glu:86.6496 pou:86.6496 teamlava:86.6496
Automotive oem:1068.8584 honda:1035.2234 engine:763.2773 vehicle:667.9866 headlights:661.4206 exhaust:627.5002 jeep:613.5399 installed:556.7739 tire:547.3959 headlight:522.1912 toyota:469.6297 factory:415.4476 dealer:413.4006 dealership:397.0330 muffler:394.6384 ford:381.6024 wiper:376.0809 nissan:370.5218 mats:370.3212 fit:345.0427 wipers:343.5650 dodge:326.5747 bumper:299.2391 fuel:294.4488 chevy:285.2813 windshield:284.9174 acdelco:281.8774 acura:281.8774 crv:281.8774 installation:279.5014 gasket:277.6185 camry:272.0728 gmc:272.0728 civic:260.7418 helmet:247.7179 subaru:246.0805 cars:234.6394 kia:233.2370 cab:230.9977 altima:225.4991 delco:225.4991 detailer:225.4991 meguiar:225.4991 hitch:218.4354 trailer:211.0456 wheel:205.8960 atv:198.4989 gaskets:198.4989 tranny:198.4989 passenger:197.6096 decal:196.4494 motorcycle:191.8847 lights:188.0398 torque:180.1720 trucks:180.1720 alternator:178.8050 buick:178.8050 integra:178.8050 resistor:178.8050 silverado:178.8050 taillight:178.8050 filter:175.4422 coupe:172.4497 sealant:172.4497 trunk:169.9740 arnley:169.1222 ballasts:169.1222 dorman:169.1222 kensun:169.1222 mpg:169.1222 visors:169.1222 weathertech:169.1222 steering:163.3126 mirror:160.7276 vehicles:157.3135
Baby diaper:2429.7403 crib:2411.4696 newborn:1292.0074 seat:1260.4466 pacifiers:1206.4343 carseat:1191.0216 sippy:1171.1733 pacifier:1105.9346 nipple:1049.2499 diapers:996.1845 britax:940.4892 strollers:935.7670 infant:923.4100 medela:855.9647 graco:850.6865 babies:797.1193 avent:765.6082 swaddle:765.6082 gate:755.2348 teething:748.5595 teether:680.5319 toddler:634.3394 son:514.3491 highchair:510.3860 nursery:499.7943 daughter:497.3942 naps:492.2451 breast:472.9114 bassinet:460.0394 potty:446.3436 tub:441.3800 boppy:435.7665 mam:435.7665 swaddling:425.3163 blanket:415.7606 playtex:412.6464 latch:405.4483 nipples:396.9350 bottles:395.7462 bath:393.8998 recline:379.8048 swaddled:379.8048 reclined:352.7699 diapering:340.2487 nuk:340.2487 prefolds:340.2487 soothie:340.2487 teethers:340.2487 wubbanub:340.2487 feeding:339.5712 blankets:324.5678 breastfeeding:317.9599 bib:301.4654 carrier:300.9816 month:291.0959 months:285.3512 toys:283.4683 evenflo:270.6047 outgrew:262.0956 blankie:255.1833 breastfed:255.1833 carseats:255.1833 chicco:255.1833 colicky:255.1833 prefold:255.1833 sleepsacks:255.1833 snugride:255.1833 milk:237.1460 convertible:237.0518 rattle:236.3536 tray:229.6583 burp:224.1792 munchkin:224.1792 chair:223.0349 bottle:215.8744
Beauty lotion:2313.7343 scent:2300.7926 shampoo:2233.7243 smells:2182.0780 conditioner:1797.8646 dry:1453.0905 smell:1370.4095 fragrance:1346.8213 oily:1308.6094 perfume:1259.9233 moisturizer:1185.9520 curly:1150.5669 acne:1022.6361 greasy:1017.4696 curls:939.6151 makeup:913.7857 polish:901.1626 lashes:848.9130 salon:841.3732 brush:839.5267 frizzy:837.6895 mascara:837.6895 tanning:762.2252 frizz:759.3575 cleanser:709.3547 serum:709.3547 products:693.7561 moisturizing:683.3261 bottle:665.6587 cream:661.4592 scalp:659.0344 cologne:647.1113 nail:625.9649 curl:571.7985 shiny:546.3254 lipstick:542.6932 dryer:536.4007 face:520.4351 perfumes:491.1800 nails:490.2616 shampoos:479.7125 gel:477.7681 comb:470.1165 complexion:469.7003 pores:469.7003 fragrances:456.5343 spf:456.5343 opi:455.6660 brushes:441.4279 drying:429.9694 redness:428.2147 straightener:417.6885 curling:399.5317 wavy:398.3626 oil:386.3090 eyelashes:371.4178 moisturized:371.4178 hydrating:343.3811 concealer:341.7365 eyeliner:341.7365 natural:336.2183 silky:335.2169 soap:331.1994 lotions:328.2324 breakouts:323.4982 moisturizers:305.7692 eyeshadow:303.7619 smooth:294.7529 scents:288.0587 bristles:287.2366 tan:286.9673 wash:284.5643 soft:279.2815 sunscreen:279.0383 apply:278.4982
Book reading:6184.6093 author:6181.0722 characters:4818.1420 written:4300.4493 series:2865.6180 reader:2786.9502 writing:2431.3605 interesting:2380.0994 world:2162.4159 enjoyed:2121.4679 pages:2113.4881 stories:2048.6768 character:1945.4309 history:1784.4417 page:1780.4505 information:1721.4037 readers:1500.0680 chapter:1451.0070 plot:1359.4764 price:1322.7203 authors:1307.1947 quality:1301.5389 people:1238.4627 understand:1129.1228 romance:1112.7336 chapters:1106.7855 mystery:1047.8703 lives:1040.9563 writer:1033.4961 fit:1023.0265 novels:1017.8857 end:983.3909 loved:978.8521 man:925.7151 learn:921.2367 ending:918.4959 god:917.3200 ideas:897.2674 fiction:893.5782 human:881.5004 relationship:874.0643 understanding:863.3424 subject:844.0748 bought:834.3749 war:827.5815 interested:795.3612 young:788.7828 writes:780.9041 finished:780.3431 size:779.9385 historical:773.5960 sense:771.6536 family:766.4168 works:752.3845 questions:743.6909 examples:741.9787 knowledge:734.8545 text:728.9670 interest:726.4900 events:725.3683 recipes:725.2376 published:721.0577 found:719.2751 wait:715.2669 illustrations:701.0611 children:697.2620 journey:693.4014 study:686.9060 forward:685.0345 felt:683.6927 reference:679.0282 heart:676.8281 guide:674.5192 personal:666.3171 insight:664.6106
CDs_and_Vinyl music:13083.7708 albums:6705.8249 tracks:6516.9527 lyrics:5856.6404 listen:5637.0428 band:4883.4545 rock:4836.6511 vocals:4785.8817 track:4579.5516 listening:3608.8893 heard:3521.9277 recording:2912.7397 sound:2907.7863 voice:2662.9028 quot:2356.9046 record:2343.5754 singing:2308.6305 musical:2279.9010 sounds:2174.1667 cds:2145.6677 recordings:2121.5913 vocal:2097.2537 recorded:2061.5759 jazz:2054.7091 singer:2035.6875 disc:2033.5530 tunes:1928.3825 hear:1863.7942 solo:1763.5395 sing:1750.7650 bands:1725.7746 blues:1701.7088 catchy:1655.4417 listened:1652.6364 melodies:1580.2385 hits:1574.4389 concert:1531.8708 fan:1519.6175 pop:1474.9522 acoustic:1362.3525 instrumental:1353.1691 release:1353.0938 artists:1314.9521 melodic:1309.1254 musicians:1180.1860 fans:1161.6508 sings:1160.0893 listener:1153.0809 piano:1139.3405 released:1130.7652 chorus:1112.2763 musically:1103.1968 punk:1098.3158 collection:1088.7013 arrangements:1078.4490 records:1072.6359 ballads:1053.0108 instruments:1030.0515 drums:1020.9525 orchestra:1017.1169 compilation:1011.9228 melody:1006.5299 classic:989.8537 singers:977.1783 songwriting:974.5866 ballad:972.1788 production:966.4280 live:949.0132 bass:937.3849 guitars:919.8356 riffs:906.2134 favorite:903.9755 dance:898.8016 soundtrack:891.3555 musicianship:883.9937
Cell_Phones_and_Accessorie iphone:4184.0601 screen:2076.9156 protector:2013.2312 galaxy:1707.0059 charger:1478.3804 otterbox:1443.8732 dropped:1350.9226 charge:1308.5684 battery:1093.3805 protects:1061.5946 samsung:1034.3820 protection:981.0748 cases:951.4596 phones:933.7001 fits:868.2796 charging:813.5678 headset:809.3888 htc:754.6985 bluetooth:639.3986 cell:612.9192 verizon:594.9046 nokia:591.2292 buttons:589.1162 otter:545.5992 protectors:533.9857 blackberry:503.8765 bubbles:456.3699 pocket:451.8219 cover:446.7655 droid:429.6209 protective:419.9380 motorola:413.7474 protected:378.3357 fit:376.6108 protect:374.1774 lg:373.9997 headsets:361.8449 stylus:358.3986 rubber:341.9416 bulky:338.3295 charged:310.1950 charges:309.6978 clip:308.9534 edges:304.0766 slim:302.6758 chargers:301.5414 mobile:287.6577 sprint:286.3855 kickstand:281.3404 sim:277.2905 iphones:272.2643 scratches:269.8802 perfectly:269.4596 ear:257.8779 drop:247.7378 tpu:240.4368 cracked:239.9878 rubberized:235.2179 gs:222.0878 spigen:218.7149 holster:216.9185 smartphone:214.8916 broke:214.5443 texting:214.2751 unlocked:213.8016 plastic:211.4151 defender:208.6174 grip:207.0044 zagg:206.0495 button:205.5118 lifeproof:205.2077 reading:204.9818 cellphone:203.2595 mah:201.8110 usb:195.8479
Clothing_Shoes_and_Jewelry comfortable:4674.4896 shoe:4043.1706 size:3312.6667 fit:2736.7252 pair:2384.9651 shirt:2218.5164 boots:2009.9727 wearing:1675.0742 dress:1471.8644 worn:1405.3444 earrings:1392.1845 jeans:1152.0688 sandals:1125.8628 feet:1116.9502 bra:987.8389 bracelet:986.6291 wore:979.4658 socks:978.7635 cute:920.6809 necklace:882.9291 compliments:855.4156 heel:849.2096 costume:844.6001 sizing:815.6677 leather:792.7840 pants:785.6730 watches:747.1811 sole:729.3774 fabric:723.4571 color:712.5533 comfy:669.6092 toe:660.0322 waist:642.0267 slippers:596.9558 ordered:576.5984 shirts:561.4137 fits:553.4301 jewelry:542.6100 foot:540.7667 ring:523.8407 pairs:506.2185 wears:487.3115 leggings:455.2564 sizes:447.7841 sandal:442.3889 tight:437.2157 jacket:419.2383 watch:418.9102 soles:418.3159 arch:417.6840 quality:412.6826 casual:404.5168 boot:402.1027 flattering:395.1271 colors:388.5660 soft:383.9076 warm:378.6031 sneakers:376.3558 stylish:375.4682 pendant:342.8594 outfit:342.3900 characters:336.3253 material:333.9528 reading:330.6720 bras:325.0510 nice:311.7722 narrow:307.0175 sweater:306.6887 cotton:305.5414 clasp:305.3121 wrist:302.7634 footbed:292.4562 dressy:290.6616 skirt:287.8735 hat:286.4112
Digital_Music music:1420.9702 lyrics:892.1973 listen:770.8981 heard:594.0728 albums:579.9120 voice:507.8539 playlist:458.6510 vocals:455.2540 catchy:437.9724 band:379.3193 tracks:347.7517 sing:346.0595 upbeat:344.7818 listening:320.8772 mp:317.3782 rock:314.2670 singing:296.4842 sings:289.3777 singer:285.4617 sounds:243.4190 rap:224.4965 artist:221.9128 ballad:217.3261 track:215.7481 radio:210.6006 hear:208.6041 sung:201.4105 jazz:199.8153 sound:198.1985 bloops:186.5909 crusin:186.5909 hackett:186.5909 nastradamus:186.5909 spangled:186.5909 underoath:186.5909 listened:186.1557 download:176.2038 tune:166.9132 ep:166.1459 cher:161.4581 drums:155.5622 talented:145.7125 bluesy:144.0990 dance:142.5048 blues:142.2723 artists:142.2652 funk:142.0562 falsetto:136.9661 sounding:135.5396 recording:134.7386 groove:134.5680 soulful:134.2716 indie:125.4275 bands:123.7085 bleeps:123.0657 krall:123.0657 pharrell:123.0657 pretenders:123.0657 songstress:123.0657 withers:123.0657 yodeling:123.0657 musicians:122.1059 listens:121.1243 knopfler:116.5545 lyrically:116.0078 recorded:113.4346 classic:112.9066 record:112.7893 released:109.6933 guitarist:109.4705 rapping:109.2646 vocal:107.8278 bonnie:106.5296 chorus:105.5841 favorite:101.4263
Electronic cable:3380.4712 computer:2636.5236 usb:2610.3347 screen:1911.2521 works:1800.7968 tv:1794.4733 sound:1725.1478 ipod:1670.6613 hdmi:1665.1541 ipad:1649.5761 speakers:1646.5884 keyboard:1606.4563 device:1604.5156 gb:1600.0606 adapter:1566.5308 headphones:1485.1412 battery:1462.2082 plug:1399.2441 drive:1296.1422 wireless:1292.6901 tablet:1283.3889 pc:1263.6101 card:1257.5370 hd:1224.0864 cables:1201.8091 sony:1199.7278 lens:1134.3432 plugged:1121.2569 software:1065.5936 port:1052.9015 router:1025.7962 windows:1010.2589 remote:1000.8452 price:992.6323 unit:973.5339 signal:872.1830 canon:868.9541 external:860.9928 player:859.1125 speaker:853.4733 mouse:852.3897 setup:846.7772 audio:837.7800 cord:825.0123 nikon:817.5327 sd:815.0912 apple:790.5108 quality:755.5849 devices:742.7144 lcd:738.1402 cameras:702.0814 desktop:694.4423 receiver:676.9282 charger:664.5325 video:651.7498 logitech:639.1592 mac:636.1632 antenna:633.0940 gps:630.9123 mp:619.9279 ports:601.6185 installed:589.3555 charge:579.2363 worked:569.1544 asus:565.5681 macbook:555.5548 connect:555.2993 flash:555.2026 monitor:552.9551 zoom:548.7096 power:543.1799 files:536.6153 portable:536.5973 bluetooth:529.4763 mode:510.5994
Grocery_and_Gourmet_Food flavors:2104.3804 snack:2070.3590 delicious:1741.6781 tasting:1740.7146 tea:1693.1705 tastes:1664.2852 chocolate:1609.9985 flavored:1420.7524 sugar:1365.6341 tasted:1054.6199 teas:944.7654 drink:943.4847 organic:934.8176 coffees:875.5591 sauce:856.7517 salty:837.7395 butter:805.9957 gluten:786.8339 tasty:756.5234 flavorful:709.2062 peanut:685.2281 sweetener:684.4199 milk:682.0094 spicy:679.1601 salt:667.4459 cocoa:666.4371 candies:665.1916 coconut:661.7321 keurig:651.8883 corn:636.1703 cereal:636.0965 creamy:635.4492 seasoning:603.9235 aroma:599.5840 eat:599.2100 cinnamon:592.0944 crunchy:592.0944 bitter:589.8610 cookies:577.7452 almonds:569.1867 texture:566.7035 sodium:553.0720 grocery:541.2292 cup:540.6006 chewy:526.2353 crackers:522.5799 yummy:510.4991 rice:509.8246 oatmeal:491.1512 starbucks:462.5452 drinker:456.5649 breakfast:456.3466 aftertaste:449.5901 calories:447.8946 cups:424.6647 candy:414.4367 healthy:411.3744 fruit:407.2457 cereals:399.0745 decaf:399.0745 caramel:391.9555 flour:386.7559 hazelnut:379.4337 sweetened:379.4337 roast:373.9287 chocolates:371.5739 iced:360.9293 pack:358.8548 tazo:358.6950 granola:351.9136 syrup:346.0580 stevia:343.5220 flavoring:343.4970 vanilla:337.3023 caffeine:326.8200
